,Data_Value,Gender
1324,0.0,Overall
1325,0.0,Overall
1326,0.0,Overall
1327,0.0,Overall
1328,0.0,Overall
1329,0.0,Overall
1330,0.0,Overall
1331,0.0,Overall
1332,0.0,Overall
1333,0.0,Overall
1334,0.0,Overall
1335,0.0,Overall
1336,0.0,Overall
1337,0.0,Overall
1338,0.0,Overall
1339,0.0,Overall
1340,0.0,Overall
1341,0.0,Overall
1342,0.0,Overall
1343,0.0,Overall
1344,0.0,Overall
1345,110.6,Overall
1346,0.0,Overall
1347,0.0,Overall
1348,0.0,Overall
1349,199.2,Overall
1350,0.0,Overall
1351,0.0,Overall
1352,0.0,Overall
1353,67.4,Overall
1354,0.0,Overall
1355,0.0,Overall
1356,0.0,Overall
1357,66.6,Overall
1358,0.0,Overall
1359,24.2,Overall
1360,0.0,Overall
1361,0.0,Overall
1362,0.0,Overall
1363,0.0,Overall
1364,0.0,Overall
1365,0.0,Overall
1366,0.0,Overall
1367,113.6,Overall
1368,0.0,Overall
1369,0.0,Overall
1370,0.0,Overall
1371,0.0,Overall
1372,0.0,Overall
1373,0.0,Overall
1374,0.0,Overall
1375,0.0,Overall
1376,0.0,Male
1377,0.0,Male
1378,0.0,Male
1379,0.0,Male
1380,0.0,Male
1381,0.0,Male
1382,0.0,Male
1383,0.0,Male
1384,0.0,Male
1385,0.0,Male
1386,0.0,Male
1387,0.0,Male
1388,0.0,Male
1389,0.0,Male
1390,0.0,Male
1391,0.0,Male
1392,0.0,Male
1393,0.0,Male
1394,0.0,Male
1395,0.0,Male
1396,0.0,Male
1397,0.0,Male
1398,0.0,Male
1399,0.0,Male
1400,0.0,Male
1401,0.0,Male
1402,0.0,Male
1403,0.0,Male
1404,0.0,Male
1405,0.0,Male
1406,0.0,Male
1407,0.0,Male
1408,0.0,Male
1409,0.0,Male
1410,0.0,Male
1411,0.0,Male
1412,129.2,Male
1413,0.0,Male
1414,0.0,Male
1415,0.0,Male
1416,0.0,Male
1417,0.0,Male
1418,0.0,Male
1419,0.0,Male
1420,57.1,Male
1421,0.0,Male
1422,0.0,Male
1423,0.0,Male
1424,62.8,Male
1425,0.0,Male
1426,0.0,Male
1427,0.0,Male
1428,0.0,Male
1429,0.0,Male
1430,0.0,Male
1431,0.0,Male
1432,0.0,Male
1433,0.0,Male
1434,0.0,Male
1435,0.0,Male
1436,0.0,Male
1437,0.0,Male
1438,0.0,Male
1439,0.0,Male
1440,0.0,Male
1441,0.0,Male
1442,0.0,Male
1443,0.0,Female
