,Title,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings.Value,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Production,Website
214,Before Sunrise,R,27-Jan-95,101 min,"Drama, Romance",Richard Linklater,"Richard Linklater, Kim Krizan","Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","English, German, French","USA, Austria, Switzerland",1 win & 7 nominations.,8.1/10,77,8.1,"202,165",tt0112471,N/A,Sony Pictures Home Entertainment,N/A
215,Star Wars: The Force Awakens,PG-13,18-Dec-15,136 min,"Action, Adventure, Fantasy",J.J. Abrams,"Lawrence Kasdan, J.J. Abrams, Michael Arndt, George Lucas (based on characters created by)","Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver","Three decades after the Empire's defeat, a new threat arises in the militant First Order. Stormtrooper defector Finn and spare parts scavenger Rey are caught up in the Resistance's search for the missing Luke Skywalker.",English,USA,Nominated for 5 Oscars. Another 51 wins & 115 nominations.,8.1/10,81,8.1,"665,521",tt2488496,"$936,658,640 ",Walt Disney Pictures,http://starwars.com/
216,Sholay,NOT RATED,15-Aug-75,162 min,"Action, Adventure, Comedy",Ramesh Sippy,"Javed Akhtar, Salim Khan","Dharmendra, Sanjeev Kumar, Hema Malini, Amitabh Bachchan","After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",Hindi,India,2 wins.,8.3/10,N/A,8.3,"39,417",tt0073707,N/A,Adlabs Film,N/A
217,The Grapes of Wrath,APPROVED,15-Mar-40,129 min,"Drama, History",John Ford,"Nunnally Johnson (screen play), John Steinbeck (based on the novel by)","Henry Fonda, Jane Darwell, John Carradine, Charley Grapewin","A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.",English,USA,Won 2 Oscars. Another 9 wins & 5 nominations.,8.1/10,N/A,8.1,"68,128",tt0032551,N/A,Twentieth Century Fox Home Entertainment,N/A
218,Harry Potter and the Deathly Hallows: Part 2,PG-13,15-Jul-11,130 min,"Adventure, Drama, Fantasy",David Yates,"Steve Kloves (screenplay), J.K. Rowling (novel)","Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe","Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",English,"USA, UK",Nominated for 3 Oscars. Another 45 wins & 92 nominations.,8.1/10,87,8.1,"594,362",tt1201607,"$381,000,185 ",Warner Bros. Pictures,http://www.HarryPotter.com/
219,Rocky,PG,3-Dec-76,120 min,"Drama, Sport",John G. Avildsen,Sylvester Stallone,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers","Rocky Balboa, a small-time boxer, gets a supremely rare chance to fight heavy-weight champion Apollo Creed in a bout in which he strives to go the distance for his self-respect.",English,USA,Won 3 Oscars. Another 16 wins & 21 nominations.,8.1/10,69,8.1,"407,892",tt0075148,N/A,United Artists,http://rockythemovie.com/
220,Prisoners,R,20-Sep-13,153 min,"Crime, Drama, Mystery",Denis Villeneuve,Aaron Guzikowski,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",English,USA,Nominated for 1 Oscar. Another 10 wins & 35 nominations.,8.1/10,74,8.1,"436,571",tt1392214,"$60,962,878 ",Warner Bros.,http://prisonersmovie.warnerbros.com/
221,Touch of Evil,PG-13,1-Feb-58,95 min,"Crime, Drama, Film-Noir",Orson Welles,"Orson Welles (screenplay), Whit Masterson (based on the novel ""Badge Of Evil"" by)","Charlton Heston, Janet Leigh, Orson Welles, Joseph Calleia","A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.","English, Spanish",USA,6 wins & 1 nomination.,8.1/10,N/A,8.1,"78,182",tt0052311,N/A,October Films,N/A
222,Gandhi,PG,25-Feb-83,191 min,"Biography, Drama, History",Richard Attenborough,John Briley,"Ben Kingsley, Candice Bergen, Edward Fox, John Gielgud","Gandhi's character is fully explained as a man of nonviolence. Through his patience, he is able to drive the British out of the subcontinent. And the stubborn nature of Jinnah and his commitment towards Pakistan is portrayed.",English,"UK, India, USA",Won 8 Oscars. Another 27 wins & 20 nominations.,8.1/10,N/A,8.1,"184,127",tt0083987,N/A,Columbia Pictures,N/A
223,Diabolique,UNRATED,21-Nov-55,117 min,"Crime, Drama, Horror",Henri-Georges Clouzot,"Pierre Boileau (novel), Thomas Narcejac (novel), Henri-Georges Clouzot (scenario and dialogue), Jérôme Géronimi (scenario and dialogue), René Masson (collaboration), Frédéric Grendel (collaboration)","Simone Signoret, Véra Clouzot, Paul Meurisse, Charles Vanel","The wife and mistress of a cruel headmaster conspire to kill him; after the murder is committed, his corpse disappears, and strange events begin to plague the two women.","French, English",France,4 wins.,8.1/10,N/A,8.1,"45,903",tt0046911,N/A,Kino Lorber Inc.,N/A
224,Annie Hall,PG,20-Apr-77,93 min,"Comedy, Romance",Woody Allen,"Woody Allen, Marshall Brickman","Woody Allen, Diane Keaton, Tony Roberts, Carol Kane",Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.,"English, German",USA,Won 4 Oscars. Another 26 wins & 8 nominations.,8.1/10,N/A,8.1,"208,523",tt0075686,N/A,United Artists,N/A
225,Catch Me If You Can,PG-13,25-Dec-02,141 min,"Biography, Crime, Drama",Steven Spielberg,"Jeff Nathanson (screenplay), Frank Abagnale Jr. (book), Stan Redding (book)","Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen","The story of 'Frank Abagnale Jr., before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and legal prosecutor as a seasoned and dedicated FBI agent pursues him.","English, French","USA, Canada",Nominated for 2 Oscars. Another 13 wins & 41 nominations.,8.1/10,76,8.1,"592,039",tt0264464,"$164,400,000 ",DreamWorks SKG,http://www.dreamworks.com/catchthem/jump2.html
226,Donnie Darko,R,26-Oct-01,113 min,"Drama, Sci-Fi, Thriller",Richard Kelly,Richard Kelly,"Jake Gyllenhaal, Holmes Osborne, Maggie Gyllenhaal, Daveigh Chase","A troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes, after he narrowly escapes a bizarre accident.",English,USA,11 wins & 15 nominations.,8.1/10,88,8.1,"622,498",tt0246578,N/A,Newmarket Film Group,http://www.donniedarko.com
227,"Monsters, Inc.",G,2-Nov-01,92 min,"Animation, Adventure, Comedy","Pete Docter, David Silverman, Lee Unkrich","Pete Docter (original story by), Jill Culton (original story by), Jeff Pidgeon (original story by), Ralph Eggleston (original story by), Andrew Stanton (screenplay), Daniel Gerson (screenplay)","John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",English,USA,Won 1 Oscar. Another 13 wins & 39 nominations.,8.1/10,78,8.1,"639,101",tt0198781,"$34,034,168 ",Buena Vista Distribution Compa,http://disney.go.com/monstersinc/index.html
228,Hera Pheri,NOT RATED,31-Mar-00,156 min,"Comedy, Crime, Musical",Priyadarshan,"Siddique (story), Lal (story), Neeraj Vora (dialogue), Neeraj Vora (screenplay), Anand S. Vardhan (story)","Akshay Kumar, Paresh Rawal, Sunil Shetty, Tabu","Three unemployed men find the answer to all their money problems when they recieve a call from a kidnapper. However, things do not go as planned.",Hindi,India,5 wins & 3 nominations.,8.3/10,N/A,8.3,"39,103",tt0242519,N/A,Chaudhary Enterprises,N/A
229,The Bourne Ultimatum,PG-13,3-Aug-07,115 min,"Action, Mystery, Thriller",Paul Greengrass,"Tony Gilroy (screenplay), Scott Z. Burns (screenplay), George Nolfi (screenplay), Tony Gilroy (screen story), Robert Ludlum (novel)","Matt Damon, Julia Stiles, David Strathairn, Scott Glenn",Jason Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer.,"English, French, Arabic, Russian, Spanish","USA, Germany",Won 3 Oscars. Another 26 wins & 39 nominations.,8.1/10,85,8.1,"527,907",tt0440963,"$227,400,000 ",Universal Pictures,http://www.thebourneultimatum.com/
230,The Terminator,R,26-Oct-84,107 min,"Action, Sci-Fi",James Cameron,"James Cameron, Gale Anne Hurd, William Wisher Jr. (additional dialogue)","Arnold Schwarzenegger, Michael Biehn, Linda Hamilton, Paul Winfield","A seemingly indestructible humanoid cyborg is sent from 2029 to 1984 to assassinate a waitress, whose unborn son will lead humanity in a war against the machines, while a soldier from that war is sent to protect her at all costs.","English, Spanish","UK, USA",6 wins & 6 nominations.,8.0/10,83,8,"646,546",tt0088247,N/A,Orion Pictures Corporation,http://www.terminator1.com/
231,8½,NOT RATED,25-Jun-63,138 min,"Drama, Fantasy",Federico Fellini,"Federico Fellini (story), Ennio Flaiano (story), Federico Fellini (screenplay), Tullio Pinelli (screenplay), Ennio Flaiano (screenplay), Brunello Rondi (screenplay)","Marcello Mastroianni, Claudia Cardinale, Anouk Aimée, Sandra Milo",A harried movie director retreats into his memories and fantasies.,"Italian, French, English, German","Italy, France",Won 2 Oscars. Another 16 wins & 8 nominations.,8.1/10,N/A,8.1,"84,392",tt0056801,N/A,Cinerez,N/A
232,The Wizard of Oz,G,25-Aug-39,102 min,"Adventure, Family, Fantasy","Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, King Vidor","Noel Langley (screenplay), Florence Ryerson (screenplay), Edgar Allan Woolf (screenplay), Noel Langley (adaptation), L. Frank Baum (from the book by)","Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr",Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home in Kansas and help her friends as well.,English,USA,Won 2 Oscars. Another 7 wins & 14 nominations.,8.1/10,100,8.1,"311,697",tt0032138,"$3,840,702 ",Warner Bros. Pictures,http://thewizardofoz.warnerbros.com/
233,Barry Lyndon,PG,18-Dec-75,184 min,"Adventure, Drama, History",Stanley Kubrick,"Stanley Kubrick (written for the screen by), William Makepeace Thackeray (novel)","Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"English, German, French","UK, USA, Ireland",Won 4 Oscars. Another 13 wins & 13 nominations.,8.1/10,N/A,8.1,"110,576",tt0072684,N/A,Warner Bros.,N/A
234,Groundhog Day,PG,12-Feb-93,101 min,"Comedy, Fantasy, Romance",Harold Ramis,"Danny Rubin (screenplay), Harold Ramis (screenplay), Danny Rubin (story)","Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky",A weatherman finds himself inexplicably living the same day over and over again.,"English, French, Italian",USA,Won 1 BAFTA Film Award. Another 5 wins & 10 nominations.,8.0/10,72,8,"474,776",tt0107048,N/A,Columbia Pictures,N/A
235,La Haine,NOT RATED,23-Feb-96,98 min,"Crime, Drama",Mathieu Kassovitz,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili",24 hours in the lives of three young men in the French suburbs the day after a violent riot.,French,France,8 wins & 13 nominations.,8.1/10,N/A,8.1,"112,951",tt0113247,N/A,Criterion Collection,N/A
236,Twelve Monkeys,R,5-Jan-96,129 min,"Mystery, Sci-Fi, Thriller",Terry Gilliam,"Chris Marker (film La Jetée), David Webb Peoples (screenplay), Janet Peoples (screenplay)","Joseph Melito, Bruce Willis, Jon Seda, Michael Chance","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.","English, French",USA,Nominated for 2 Oscars. Another 9 wins & 18 nominations.,8.0/10,74,8,"492,644",tt0114746,N/A,Universal Pictures,N/A
237,Jaws,PG,20-Jun-75,124 min,"Adventure, Drama, Thriller",Steven Spielberg,"Peter Benchley (screenplay), Carl Gottlieb (screenplay), Peter Benchley (based on the novel by)","Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary","A giant great white shark arrives on the shores of a New England beach resort and wreaks havoc with bloody attacks on swimmers, until a local sheriff teams up with a marine biologist and an old seafarer to hunt the monster down.",English,USA,Won 3 Oscars. Another 10 wins & 17 nominations.,8.0/10,86,8,"445,407",tt0073195,N/A,Universal Pictures,http://www.jaws25.com/
238,Infernal Affairs,R,12-Dec-02,101 min,"Crime, Drama, Mystery","Wai-Keung Lau, Alan Mak","Alan Mak, Felix Chong","Andy Lau, Tony Chiu-Wai Leung, Anthony Chau-Sang Wong, Eric Tsang","A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.","Cantonese, English, Thai",Hong Kong,23 wins & 21 nominations.,8.1/10,75,8.1,"98,381",tt0338564,N/A,Miramax,http://www.infernalaffairs.com/
239,The Best Years of Our Lives,PASSED,17-Jun-47,170 min,"Drama, Romance, War",William Wyler,"Robert E. Sherwood (screen play), MacKinlay Kantor (from a novel by)","Myrna Loy, Fredric March, Dana Andrews, Teresa Wright",Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,English,USA,Won 7 Oscars. Another 13 wins & 2 nominations.,8.1/10,N/A,8.1,"43,479",tt0036868,N/A,RKO Radio Pictures,N/A
240,Gangs of Wasseypur,N/A,2-Aug-12,320 min,"Action, Crime, Drama",Anurag Kashyap,"Akhilesh Jaiswal, Anurag Kashyap, Sachin K. Ladia, Zeishan Quadri","Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui, Tigmanshu Dhulia","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Hindi,India,10 wins & 33 nominations.,8.3/10,89,8.3,"54,166",tt1954470,N/A,Studio 18,http://www.wasseypurworld.com/
241,The Help,PG-13,10-Aug-11,146 min,Drama,Tate Taylor,"Tate Taylor (screenplay), Kathryn Stockett (novel)","Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",English,"USA, India, United Arab Emirates",Won 1 Oscar. Another 79 wins & 116 nominations.,8.1/10,62,8.1,"344,326",tt1454029,"$169,705,587 ",DreamWorks Studios,http://www.thehelpmovie.com
242,Beauty and the Beast,G,22-Nov-91,84 min,"Animation, Family, Fantasy","Gary Trousdale, Kirk Wise","Linda Woolverton (animation screenplay by), Brenda Chapman (story), Chris Sanders (story), Burny Mattinson (story), Kevin Harkey (story), Brian Pimental (story), Bruce Woodside (story), Joe Ranft (story), Tom Ellery (story), Kelly Asbury (story), Robert Lence (story)","Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury","A young woman whose father has been imprisoned by a terrifying beast offers herself in his place, unaware that her captor is actually a prince, physically altered by a magic spell.","English, French",USA,Won 2 Oscars. Another 24 wins & 22 nominations.,8.0/10,95,8,"336,430",tt0101414,"$47,611,331 ",Buena Vista,http://www.disney.com/beautyandthebeast
243,Dog Day Afternoon,R,25-Dec-75,125 min,"Biography, Crime, Drama",Sidney Lumet,"Frank Pierson (screenplay), P.F. Kluge (based upon a magazine article by), Thomas Moore (based upon a magazine article by)","Penelope Allen, Sully Boyar, John Cazale, Beulah Garrick",A man robs a bank to pay for his lover's operation; it turns into a hostage situation and a media circus.,English,USA,Won 1 Oscar. Another 13 wins & 19 nominations.,8.0/10,N/A,8,"194,970",tt0072890,N/A,WARNER BROTHERS PICTURES,N/A
244,The Battle of Algiers,NOT RATED,20-Sep-67,121 min,"Drama, War",Gillo Pontecorvo,"Franco Solinas, Franco Solinas (story), Gillo Pontecorvo (story)","Jean Martin, Yacef Saadi, Brahim Hadjadj, Samia Kerbash","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","French, Arabic, English","Italy, Algeria",Nominated for 3 Oscars. Another 9 wins & 5 nominations.,8.1/10,95,8.1,"41,118",tt0058946,"$55,908 ",Rialto Pictures,http://rialtopictures.com/battle.html
245,In the Mood for Love,PG,9-Mar-01,98 min,"Drama, Romance",Kar-Wai Wong,Kar-Wai Wong,"Maggie Cheung, Tony Chiu-Wai Leung, Ping Lam Siu, Tung Cho 'Joe' Cheung","Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.","Cantonese, Shanghainese, French, Spanish","Hong Kong, China",Nominated for 1 BAFTA Film Award. Another 44 wins & 42 nominations.,8.1/10,85,8.1,"84,121",tt0118694,N/A,USA Films,http://www.wkw-inthemoodforlove.com
246,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,9-Jul-03,143 min,"Action, Adventure, Fantasy",Gore Verbinski,"Ted Elliott (screen story), Terry Rossio (screen story), Stuart Beattie (screen story), Jay Wolpert (screen story), Ted Elliott (screenplay), Terry Rossio (screenplay)","Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",English,USA,Nominated for 5 Oscars. Another 36 wins & 96 nominations.,8.0/10,63,8,"869,710",tt0325980,"$305,343,252 ",Buena Vista Pictures,http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html
247,What Ever Happened to Baby Jane?,APPROVED,N/A,134 min,"Drama, Horror, Thriller",Robert Aldrich,"Henry Farrell (from the novel by), Lukas Heller (screenplay)","Bette Davis, Joan Crawford, Victor Buono, Wesley Addy",A former child star torments her paraplegic sister in their decaying Hollywood mansion.,English,USA,Won 1 Oscar. Another 1 win & 11 nominations.,8.1/10,N/A,8.1,"37,689",tt0056687,N/A,Warner Bros. Pictures,N/A
248,"Paris, Texas",R,19-Sep-84,145 min,Drama,Wim Wenders,"L.M. Kit Carson (adaptation), Sam Shepard","Harry Dean Stanton, Sam Berry, Bernhard Wicki, Dean Stockwell","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",English,"UK, France, West Germany",Nominated for 1 Golden Globe. Another 16 wins & 9 nominations.,8.1/10,N/A,8.1,"55,529",tt0087884,N/A,20th Century Fox,N/A
249,Drishyam,NOT RATED,31-Jul-15,163 min,"Crime, Drama, Mystery",Nishikant Kamat,"Jeethu Joseph (original story), Upendra Sidhaye (adapted by)","Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",Hindi,India,2 wins & 1 nomination.,8.4/10,N/A,8.4,"40,298",tt4430212,N/A,B4U US,http://www.www.drishyamthefilm.com
250,PK,N/A,19-Dec-14,153 min,"Comedy, Drama, Fantasy",Rajkumar Hirani,"Rajkumar Hirani, Abhijat Joshi","Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani","A stranger in the city asks questions no one has asked before. His childlike curiosity will take him on a journey of love, laughter, and letting go.","Hindi, English, Urdu",India,2 wins & 12 nominations.,8.2/10,N/A,8.2,"104,636",tt2338151,"$9,027,790 ",UTV Communications,http://pkmovie.in/
