,City,Cloudliness,Country,Date,Humidity,Lat,Lng,Max. Temp,Wind Speed
381,kafanchan,0,NG,1544347404.3437152,44,9.58,8.3,78.21,8.34
382,libenge,48,CD,1544347404.458813,75,3.65,18.64,82.67,2.86
383,ikom,8,NG,1544347404.57871,67,5.96,8.72,86.18,3.87
384,gamboula,0,CF,1544347404.70049,96,4.12,15.14,78.44,6.06
385,bol,0,TD,1544347404.920579,23,13.47,14.72,77.54,11.36
386,doba,12,TD,1544347405.152359,37,8.66,16.85,80.64,9.86
387,jos,0,NG,1544347405.272314,35,9.92,8.9,74.75,8.34
389,ouesso,48,CG,1544347405.506528,87,1.61,16.05,79.79,2.75
390,luba,0,PH,1544347405.620209,58,17.32,120.7,82.67,5.32
391,cape coast,0,GH,1544347405.730714,85,5.11,-1.24,83.12,3.53
392,foumban,44,CM,1544347405.85072,48,5.73,10.9,78.26,3.49
393,eseka,36,CM,1544347405.9669912,83,3.65,10.77,79.25,3.38
394,keffi,0,NG,1544347406.198295,47,8.85,7.88,77.0,3.36
396,yenagoa,20,NG,1544347406.43101,83,4.92,6.26,84.69,4.5
398,meiganga,0,CM,1544347406.657722,46,6.52,14.29,77.76,3.53
399,luba,0,PH,1544347406.775479,58,17.32,120.7,82.67,5.32
400,melfi,0,IT,1544347406.993015,61,41.0,15.66,50.0,3.87
401,kabo,0,CF,1544347407.106414,34,7.69,18.62,87.71,5.28
402,mbaiki,56,CF,1544347407.221034,75,3.87,17.99,82.53,3.09
